ID,English Name,ranking
199,James Edward Barbour SIMPSON,0.624
200,Mike Ka Pui SO,0.603
201,Iam Keong SOU,0.596
202,Hui SU,0.612
203,Jianwei SUN,0.603
204,Chiew Lan TAI,0.603
205,Ping TAN,0.612
206,Chi Keung TANG,0.612
207,Kai TANG,0.587
208,Rongbiao TONG,0.603
209,Dan Chiu Wa TSANG,0.673
210,Kam Tim TSE,0.673
211,Chi Ying TSUI,0.673
212,Ophelia K C TSUI,0.596
213,Ralf VAN DER LANS,0.673
214,Xiangrong WANG,0.596
215,Ian Duncan WILLIAMS,0.603
216,Ellick Kin Fai WONG,0.603
217,Joseph Tin Yum WONG,0.624
218,Kam Sing WONG,0.612
219,Man WONG,0.673
220,Dekai WU,0.612
221,Hongkai WU,0.603
222,Lixin WU,0.603
223,Shengqing WU,0.624
224,Xun WU,0.673
225,Zhenguo WU,0.587
226,Yang XIANG,0.603
227,Jiang XU,0.673
228,Yan XU,0.596
229,Min YAN,0.603
230,Jinglei YANG,0.603
231,Zhi Yu YANG,0.596
232,Shuhuai YAO,0.673
233,Yuan YAO,0.603
234,Wenjing YE,0.612
235,King Lun YEUNG,0.673
236,Ke YI,0.612
237,Michelle YIK,0.603
238,Levent YOBAS,0.673
239,Haifeng YOU,0.735
240,Man YU,0.735
241,Weichuan YU,0.612
242,Chik Patrick YUE,0.673
243,Bei ZENG,0.596
244,Charles Chuan ZHANG,0.673
245,Hongtao ZHANG,0.673
246,Nevin Lianwen ZHANG,0.612
247,Wei ZHANG,0.673
248,Xiangru ZHANG,0.673
249,Xueqing ZHANG,0.735
250,Jidong ZHAO,0.673
251,Xinghua ZHENG,0.603
252,Songfa ZHONG,0.596
253,Guang ZHU,0.603
254,Yongchang ZHU,0.603
255,Kai LIU,0.584
256,Jiguang WANG,0.584
257,Can YANG,0.673
258,Sunil ARYA,0.612
259,Pak Hung AU,0.596
260,Zhigang BAO,0.603
261,Brahim BENSAOU,0.612
262,Charles Wing Hoi CHAN,0.624
263,David Cheng CHANG,0.624
264,Melody Man Chi CHAO,0.603
265,Peter Fusheng CHEN,0.735
266,Qing CHEN,0.673
267,Sherry CHEN,0.612
268,Zhanhui CHEN,0.735
269,Zhihong CHEN,0.735
270,Ki Ling CHEUNG,0.673
271,Siu Woo CHEUNG,0.603
272,Kenny K CHUNG,0.584
273,Amy Nicole DALTON,0.673
274,Joshua DERMAN,0.624
275,Ilias DIMITRAKOPOULOS,0.673
276,Daisy Yan DU,0.624
277,Tsz Ho Frederick FONG,0.603
278,Bradley Alan FOREMAN,0.673
279,Li-tsui FU,0.643
280,Yongsheng GAO,0.673
281,Yusong GUO,0.612
282,Zhihong GUO,0.603
283,Li HAN,0.596
284,Alex Jingwei HE,0.673
285,Wenkai HE,0.612
286,Kristiaan HELSEN,0.673
287,David James HENDRY,0.612
288,Virgil Kit Yiu HO,0.612
289,Weiyin HONG,0.643
290,Yue HOU,0.612
291,Xinyu HUA,0.603
292,Eun Soon IM,0.612
293,Ivan Chi Ho IP,0.603
294,Toyotaka ISHIBASHI,0.603
295,Tianling JIN,0.603
296,Hyuncheol Bryant KIM,0.596
297,Sung Hun KIM,0.612
298,Tat Koon KOH,0.92
299,Shuk Mei Agnes KU,0.596
300,Richard LAKERVELD,0.673
301,Stanley Chun Kwan LAU,0.624
302,Dongwon LEE,0.643
303,Yi-Kuen LEE,0.673
304,Yonghoon LEE,0.673
305,Anthony Kwan LEUNG,0.673
306,Danny Chi Yeu LEUNG,0.612
307,Kin Yin LI,0.603
308,Larry LI,0.673
309,Yao Amber LI,0.596
310,Chun LIANG,0.624
311,Rhea Patricia LIEM,0.673
312,Woo Young LIM,0.596
313,Song LIN,0.673
314,Jia LIU,0.673
315,Junwei LIU,0.596
316,Tao LIU,0.596
317,Mengqian LU,0.673
318,Yang LU,0.596
319,Jianxiong MA,0.612
320,John Zhongdong MA,0.591
321,Peter MACKAY,0.735
322,Brian Kan Wing MAK,0.612
323,Eric Paul MARBERG,0.603
324,Wilfred Siu Hung NG,0.612
325,Tuan Anh NGUYEN,0.587
326,Ding PAN,0.587
327,George Kamenov PANAYOTOV,0.735
328,Dimitris PAPADOPOULOS,0.612
329,Hyo Keun PARK,0.603
330,Sangyoon PARK,0.596
331,Baryon Tensor POSADAS,0.624
332,Kirill PROKOFIEV,0.624
333,Jin QI,0.612
334,Shaojie SHEN,0.673
335,Yajing SHEN,0.673
336,Yangqiu SONG,0.673
337,Abhishek Kumar SRIVASTAVA,0.596
338,Haibin SU,0.673
339,Bilian Ni SULLIVAN,0.92
340,Fei SUN,0.603
341,Kevin Kim-Pong TAM,0.603
342,Sujata VISARIA,0.596
343,Xuhu WAN,0.603
344,Jin WANG,0.596
345,Jing WANG,0.643
346,Peng WANG,0.596
347,Shiheng WANG,0.735
348,Wei WANG,0.673
349,Wenbo WANG,0.673
350,Xuan WANG,0.735
351,Yi WANG,0.603
352,Yiwen WANG,0.673
353,Zhe WANG,0.673
354,Man Hoi WONG,0.673
355,Simon Man Ho WONG,0.624
356,Angela Ruohao WU,0.603
357,Maosheng XIONG,0.603
358,Hong XU,0.624
359,Juanyi XU,0.596
360,Yan YAN,0.624
361,Sen YANG,0.596
362,Yi YANG,0.612
363,Zhengbao YANG,0.603
364,Masaru YARIME,0.624
365,Sai Kit YEUNG,0.673
366,Yuk Man Carine YIU,0.643
367,Hongyu YU,0.673
368,Jialin YU,0.596
369,George Jie YUAN,0.673
370,Alminas ZALDOKAS,0.735
371,Amy Yunzhi ZANG,0.735
372,Qinglu ZENG,0.612
373,Chengxing ZHAI,0.18
374,Hai ZHANG,0.603
375,Jun ZHANG,0.603
376,Lok Cheung Lawrence ZHANG,0.624
377,Min ZHANG,0.624
378,Xiaojun ZHANG,0.643
379,Xiaowei ZHANG,0.735
380,Ying ZHAO,0.673
381,Pavel Ivanov ZHELYAZKOV,0.673
382,Rong ZHENG,0.643
383,Yanfeng ZHENG,0.92
384,Rongrong ZHOU,0.673
385,Yuanyuan ZHOU,0.673
386,Pengyu ZHU,0.596
387,Tao ZHU,0.596
388,Adrian Hoi Chun PO,0.624
389,Jun AOYAGI,0.596
390,Emilio BISETTI,0.603
391,Thomas Bradford BITTERLY,0.673
392,Tristan Camille BRAUD,0.612
393,Zachariah BROWN,0.673
394,Xuanyu CAO,0.673
395,Keith CHAN,0.596
396,Liz Pui Yee CHEE,0.624
397,Hao CHEN,0.673
398,Long CHEN,0.673
399,Qifeng CHEN,0.612
400,Qihui CHEN,0.92
401,Siyin CHEN,0.735
402,Tengteng CHEN,0.603
403,Wilbur CHEN,0.92
404,Yangyang CHEN,0.673
405,Yanzhen CHEN,0.643
406,Yi CHEN,0.673
407,Chen CHENG,0.603
408,Ja Ee CHO,0.735
409,Tony CHO,0.92
410,Jaeho CHOI,0.735
411,Tae-Ung CHOI,0.735
412,Carsten Hao Ye CHONG,0.735
413,Shangyu DANG,0.735
414,Julien DE TROULLIOUD DE LANVERSIN,0.673
415,Laurence Laurencio DELINA,0.735
416,Shuoqing DENG,0.603
417,Qingkai DONG,0.735
418,Marc DORDAL CARRERAS,0.596
419,Molong DUAN,0.673
420,Sophie Linying FAN,0.673
421,Junlong FENG,0.596
422,Carlos Manuel FERNÁNDEZ-LORÍA,0.643
423,Lin FU,0.643
424,Hanyu GAO,0.673
425,Robin Kaiji GONG,0.596
426,Dasa GU,0.612
427,Xinzhou GUO,0.603
428,David HAGMANN,0.624
429,Jonathan Eugene HALPERT,0.603
430,Ding HE,0.603
431,Junxian HE,0.673
432,Yukinori HIRANO,0.673
433,Quoc HO,0.603
434,Yu HU,0.603
435,Jinqing HUANG,0.603
436,Yangguang HUANG,0.596
437,Jenny HUNG,0.624
438,Berthold JÄCK,0.624
439,Martha JEONG,0.673
440,Sisi JIAN,0.735
441,Jiashuo JIANG,0.735
442,Qingyuan JIANG,0.603
443,Wei JIANG,0.735
444,Huan JIN,0.624
445,Amir KAFSHDAR GOHARSHADY,0.612
446,Kohei KAWAGUCHI,0.596
447,Hwa Young KIM,0.735
448,Yoonseob KIM,0.673
449,Magdalena KLEMUN,0.673
450,Becki Yi KUANG,0.603
451,Ohchan KWON,0.603
452,Yong LAI,0.587
453,Byoungchan LEE,0.596
454,Shiming LEI,0.673
455,Jiying LI,0.591
456,Mitch Guijun LI,0.673
457,Sen LI,0.673
458,Xiaomeng LI,0.673
459,Xuan LI,0.596
460,Yi LIAO,0.603
461,Yatang LIN,0.596
462,Yen Hung LIN,0.612
463,Zhen LIU,0.612
464,Haipeng LU,0.603
465,Lijian LU,0.612
466,Yanglong LU,0.673
467,Zhongming LU,0.673
468,Guodong LYU,0.735
469,Jingjing MA,0.603
470,Xiaolu MA,0.673
471,Julian MAK,0.603
472,Zili MENG,0.603
473,Quentin MOREAU,0.735
474,Arthur Kent MORRIS,0.92
475,Stefan NAGL,0.603
476,Hugh NAKAMURA,0.612
477,John Gerard Francis NASH,0.735
478,Maximilian Alexander NITZSCHNER,0.735
479,Don NOH,0.596
480,Hnin Yin Yin NYEIN,0.673
481,Jun OH,0.735
482,Deniz OKAT,0.735
483,Ling PAN,0.673
484,Yuxin PAN,0.673
485,Eunyoung PARK,0.92
486,Sang Kyu PARK,0.673
487,Lionel PARREAUX,0.673
488,Zhichao PENG,0.603
489,Shuaijie QIAN,0.603
490,Quentin Zhen QIN,0.624
491,Jishen QIU,0.673
492,Yangjian QUAN,0.603
493,Deyu RAO,0.603
494,Stephane REDONNET,0.603
495,Sayan SARKAR,0.603
496,Rob SCHARFF,0.673
497,Julie SEMMELHACK,0.624
498,Yafeng SHAN,0.624
499,Qiming SHAO,0.673
500,Dongdong SHE,0.612
501,Jiasi SHEN,0.673
502,Yifan SHEN,0.596
503,Yiwen SHEN,0.735
504,Fan SHI,0.673
505,June Zijun SHI,0.92
506,Xiaoming SHI,0.612
507,Dongwook SHIN,0.612
508,Shenghui SONG,0.673
509,Benjamin STEUER,0.624
510,Wei SU,0.624
511,Chao TANG,0.735
512,Rong TANG,0.603
513,Rui TANG,0.596
514,Di TIAN,0.596
515,Fengbin TU,0.596
516,Masayuki USHIO,0.596
517,Kenward VONG,0.603
518,Danqing WANG,0.735
519,Emily Jing WANG,0.735
520,Ke WANG,0.603
521,Lan WANG,0.603
522,Shuai WANG,0.673
523,Walter Zhe WANG,0.735
524,Wen WANG,0.596
525,Xiaoliang WANG,0.596
526,Xin WANG,0.735
527,Yan WANG,0.603
528,Terence Tsz Wai WONG,0.673
529,Allen Chenguang WU,0.735
530,Longjun WU,0.624
531,Qinggong WU,0.596
532,Alex WYATT,0.603
533,Dong XIA,0.673
534,Lucy XIA,0.673
535,Changying XIANG,0.673
536,Zhiyao XIE,0.673
537,Yan XIONG,0.735
538,Dan XU,0.673
539,Qin XU,0.596
540,Tianju XUE,0.673
541,Wei XUE,0.673
542,Daniel G YANG,0.735
543,Jiachuan YANG,0.603
544,Yansong YANG,0.673
545,Eyub YEGEN,0.735
546,Zhitao YIN,0.643
547,Wei YOU,0.673
548,Yantao YU,0.735
549,Binhang YUAN,0.612
550,Charmaine YUNG,0.624
551,Tobias Benedikt ZÜRN,0.624
552,Ruohan ZHAN,0.673
553,Dong ZHANG,0.612
554,Han ZHANG,0.596
555,Jingdi ZHANG,0.596
556,Jize ZHANG,0.673
557,Lisheng ZHANG,0.603
558,Qiong ZHANG,0.612
559,Rui ZHANG,0.596
560,Shenghan ZHANG,0.596
561,Tianlong ZHANG,0.673
562,Yihan ZHANG,0.673
563,Xiaofan ZHAO,0.92
564,Qiye ZHENG,0.673
565,Wenjuan ZHENG,0.596
566,Yue ZHENG,0.92
567,Yanguang ZHOU,0.673
568,Zoey Yiyuan ZHOU,0.735
569,Bonnie Danqing ZHU,0.603
570,Yicheng ZHU,0.735
571,Amy Kit Yu FU,0.624
572,Kei May LAU,0.673
573,Frankie CHIU,0.673
574,Wei HAN,0.603
575,Wing Yip LAM,0.603
576,Moez LOUATI,0.673
577,Syed Mohsin ABBAS,0.673
578,Mirza Muhammad Faran Ashraf BAIG,0.603
579,Lanlan CAI,0.612
580,Shuai CHEN,0.624
581,Xiangke CHEN,0.612
582,Yi CHEN,0.612
583,Jun Kang CHOW,0.673
584,Lun DAI,0.673
585,Yangfan DENG,0.673
586,Shimin DI,0.673
587,Amartansh DUBEY,0.673
588,Pip FREESTONE,0.624
589,Liuqing GAO,0.673
590,Dengyang GUO,0.673
591,Huayan GUO,0.673
592,Jiarui HAN,0.673
593,Hengtao HE,0.673
594,Jian HE,0.673
595,Peng HUA,0.673
596,Jingyang HUANG,0.612
597,Linus Ta-Lun HUANG,0.624
598,Hongwei JIA,0.624
599,Arash KAZEMIAN,0.673
600,Ryan Tsz Kin KWOK,0.673
601,Yi LAN,0.624
602,Shuohui LI,0.603
603,Zhenning LI,0.603
604,Kezheng LIAO,0.603
605,Jacky LIE,0.596
606,Changqing LIN,0.673
607,Chongjia LIN,0.673
608,Zehong LIN,0.673
609,Changdong LIU,0.603
610,Deyun LIU,0.673
611,Wenzhe LIU,0.596
612,Yang LIU,0.624
613,Ziyi LIU,0.612
614,Xiaoxuan MENG,0.735
615,Quanhua MU,0.603
616,Gleb PAPYSHEV,0.673
617,Jun QIAN,0.673
618,Shuang QIU,0.673
619,Tongming QU,0.603
620,Pui San SO,0.673
621,Weizhi SONG,0.603
622,Honglei TIAN,0.587
623,Man Chun TSENG,0.673
624,Renjun TU,0.587
625,Maolin WANG,0.673
626,Xiaoyu WANG,0.673
627,Victor Junqiu WEI,0.673
628,Chi Ho WONG,0.596
629,Hiu Yi WONG,0.584
630,Buchen WU,0.673
631,Mengxi WU,0.596
632,Huijuan XIAO,0.673
633,Dongfang XU,0.673
634,Ting XU,0.624
635,Xian XU,0.612
636,Ying XUE,0.673
637,Liangliang YANG,0.603
638,Xiong YANG,0.673
639,Fangxin Francine YI,0.643
640,Huan YIN,0.673
641,Xu YU,0.612
642,Qinbai YUN,0.673
643,Zhixiong ZENG,0.18
644,Bingchao ZHANG,0.673
645,Daquan ZHANG,0.673
646,Dong ZHANG,0.673
647,Junxue ZHANG,0.673
648,Qianpeng ZHANG,0.673
649,Ruoyang ZHANG,0.596
650,Shuaizhong ZHANG,0.18
651,Qinglan ZHAO,0.673
652,Shiwei ZHAO,0.673
653,Peng ZHOU,0.673
654,Lilong CAI,0.591
655,Hoi Sing KWOK,0.603
656,Kung Wai Christine LOH,0.603
657,Barry Victor SAUTMAN,0.612
658,Roger KING,0.735
659,Qian PENG,0.735
660,Paul KITNEY,0.596
661,Donald LOW,0.596
662,Stephen William NASON,0.92
663,Joseph SALVACRUZ,0.603
664,Tian Wen CHEN,0.596
665,Garvin Percy DIAS,0.612
666,Julian Mcallister GROVES,0.596
667,Thomas Wei Chung HU,0.673
668,Jeevan JAISINGH,0.735
669,Ice Wai Ping KO,0.591
670,James Sai Ho KWOK,0.673
671,Veronique J A LAFON-VINAIS,0.673
672,Ronald LAU,0.735
673,Winnie Suk Wai LEUNG,0.673
674,Xin LIANG,0.673
675,Betty LIN,0.673
676,Marshal Yuanshuai LIU,0.673
677,Robin Lok Wang MA,0.673
678,Kelvin P MAK,0.735
679,Emily M NASON,0.735
680,Baoqian PAN,0.735
681,Lynn PI,0.735
682,David Paul ROSSITER,0.612
683,Ekkachai SAENYASIRI,0.92
684,Tony SHIEH,0.735
685,Kam Wing SIU,0.596
686,Jean Jiying WANG,0.612
687,Kam Tim WOO,0.673
688,Chui Han Anita AU,0.673
689,Marco CABOARA,0.624
690,Sarah CARMICHAEL,0.624
691,Man Fung CHEUNG,0.596
692,Isaac David DROSCHA,0.596
693,Mercedes M. DUJUNCO,0.673
694,Danyal Jonathan FREEMAN,0.624
695,Delian Dawn GASKELL,0.624
696,Jason Man Wai HO,0.735
697,Aditi JHAVERI,0.18
698,Jia JIA,0.643
699,Ilari Julius KAILA,0.673
700,Anna Yee Ngan KWONG,0.643
701,Chak Yan Jessie Teresa LAM,0.643
702,Cindy Ka Sin LAM,0.612
703,Gibson LAM,0.673
704,Chi Man LEUNG,0.603
705,Wai Ting LEUNG,0.673
706,Edward Siu Leung LI,0.673
707,Po Lung LI,0.673
708,Xin LI,0.612
709,Melissa Jane MEGAN,0.612
710,Luisa Sze Man MOK,0.612
711,Sai Lok NAM,0.643
712,Eric Chi Yung NG,0.596
713,Ping PAN,0.643
714,Xuan QIU,0.673
715,Tao REN,0.673
716,Hong TAO,0.673
717,Emily Ming Wai TSANG,0.603
718,Shuk Ching Elza TSANG,0.673
719,Yau Chat TSOI,0.612
720,Kai Sun Albert WONG,0.673
721,Sin Ting Cynthia YAU,0.624
722,Liza Sook Yee YEW,0.624
723,Chi Wai YU,0.603
724,Crystal CHAN,0.603
725,Ki Cecia CHAN,0.735
726,Sandy Wai Ching CHAN,0.735
727,Thomas Anthony Chun Hun CHAN,0.735
728,Jasmine CHEN,0.735
729,Wai Yi Rosita CHENG,0.735
730,Anisa CHEUNG,0.735
731,Steven Kwok Yip CHEUNG,0.735
732,Doreen Ka Ki CHONG,0.735
733,Birdy Shun CHU,0.735
734,Daniel CHUN,0.735
735,John COOMBES,0.643
736,Krista Yingzi DU,0.643
737,Martin Antony EASTWOOD,0.643
738,Graham James Fisher ENGLAND,0.643
739,Rebecca FARMER,0.643
740,Eddy Hon Fai FUNG,0.643
741,John FUNG,0.643
742,Qiuzi GUO,0.643
743,Masayuki HIRATA,0.624
744,Fiona Sze Han HO,0.624
745,Hon Ming HO,0.603
746,Mark HOPKINS,0.603
747,Siu Chun HUNG,0.603
748,Monica Mei Hang JIM,0.603
749,Yılmaz KÖYLÜ,0.624
750,Yin Bon KU,0.603
751,Alex LAM,0.673
752,Levi LAM,0.673
753,Tsz Kin LAM,0.603
754,Yeung LAM,0.603
755,Brian Hui Wang LAU,0.603
756,Wai Ling LAW,0.624
757,Ping Chung Eric LEE,0.624
758,Pui LEE,0.624
759,William LEE,0.624
760,Chi Sun Benjamin LEUNG,0.673
761,Jac Ka Lok LEUNG,0.673
762,Shui Yee LEUNG,0.587
763,Angie Eugenia LI,0.587
764,May Yu Chun LIAO,0.587
765,Martin MA,0.587
766,Wai Leung Bruce MA,0.587
767,Linda Yeung Oi MAK,0.587
768,Shawn MC RAE,0.587
769,Mark Anthony MELICAN,0.587
770,Gary MUDDEMAN,0.587
771,Yee Fai NG,0.603
772,Min NUO,0.603
773,Timothy Markham PAGE,0.673
774,Yu Jing RAO,0.624
775,Thomas Jay REWHORN,0.624
776,Dinesh Arjan SADHWANI,0.603
777,Nicholas Alistair SAMPSON,0.603
778,Khawar SARFRAZ,0.673
779,Meike SAUERWEIN,0.612
780,Koji SHIOMI,0.612
781,Tse Mei Annie SHU,0.603
782,Kathy Mun Yee SIN,0.603
783,Nicolson Yat Fan SIU,0.603
784,Suzan STAMPER,0.603
785,Jing TAN,0.643
786,Eunice TANG,0.643
787,Kin Hun TANG,0.643
788,Michael TYRALA,0.624
789,Bernadette Wan-Lan WO,0.624
790,Chun Ho WONG,0.624
791,Elaine Suk Yi WONG,0.624
792,Jerry Kai Hung WONG,0.624
793,Kasina Ka Sin WONG,0.624
794,Lee Long Shaun WONG,0.624
795,Ngam Susan WONG,0.624
796,Nick WONG,0.624
797,Wilson WOON,0.673
798,Kam Yin WU,0.673
799,Xiufen XU,0.612
800,Jing YAO,0.643
801,Guibo YE,0.603
802,Anna Po Shan YU,0.603
803,Wai Ying YU,0.603
804,Su YUAN,0.673
805,Ka Ming YUEN,0.673
806,Rong ZHANG,0.673
807,Yin ZHONG,0.673
808,Titi ZHOU,0.612
809,Tong ZHOU,0.612
810,Piotr ZYCHOWICZ,0.612
811,Marie BERNAL,0.673
812,Mariah CHAN,0.673
813,Roy Ka Long CHAN,0.643
814,Kam Hang CHENG,0.603
815,Colin CHEUNG,0.603
816,Maisie GLOFCHESKI,0.603
817,Venus KAM,0.603
818,Chun Man Rolian LEE,0.603
819,Arnold LI,0.603
820,Eugene LI,0.603
821,Nidhi PANT,0.596
822,Chi SHEN,0.596
823,Frederick Fu Kit SHEONG,0.603
824,Karina Hiu Yeung SUEN,0.603
825,Jessica Ce Mun TANG,0.587
826,Bing TIAN,0.612
827,Lok Yee Lorraine WONG,0.612
828,Huiru XIAO,0.673
829,Siyang ZHOU,0.673
830,Ping SHENG,0.596
831,Bright SHENG,0.596
